id_location,lat,lon
5315328150,39.7230214,116.0804381
5315328169,39.7122328,116.0551355
5315328188,39.7085953,116.0339915
5315328203,39.703788,116.0105419
5402953665,39.7152761,116.0739687
5402956432,39.7046445,115.9836445
5402957177,39.7183414,115.9675411
5430390454,39.7218824,116.1342397
5779155490,39.7275574,116.094557
7796839024,39.7039363,116.0106026
7796853448,39.7002911,116.0000829
8073272030,39.7465971,116.1788414
8073272031,39.728465,116.1773354
8073272032,39.7219018,116.1702973
8073272033,39.7218688,116.1500157
8073272034,39.7218523,116.1189698
1296102385,39.9479438,116.1521607
5448550393,39.9061423,116.1844475
5779214860,39.9384043,116.1649999
6172173583,39.9220759,116.1568565
6172173584,39.9264588,116.1795516
6496364880,39.9248412,116.1719439
8073272029,39.759377,116.1833797
329393593,39.8567434,116.18098255
4564113104,40.0674885,116.1822924
4564113107,40.0675113,116.1555687
4564113110,40.0668592,116.1243785
890588022,40.066900129050076,116.12430648882834
890588029,40.067548537930996,116.15584815511379
890592405,40.06750657306158,116.18257438497253
5428310397,39.6689886,116.3139055
5441516142,39.6851176,116.3161458
5444440441,39.7518055,116.3260337
6818020471,39.5124863,116.4106758
6818020472,39.7361064,116.3594091
7860703073,39.7417561,116.3263162
7860703074,39.730422,116.3265186
7860703075,39.7215049,116.3266541
7860703076,39.7111034,116.3130854
128511305,39.75165589770801,116.32602374978487
340262247,40.0290192,116.4119016
1296102418,39.8989789,116.1975764
3363538820,39.942932,116.4690136
3363577821,39.931925,116.4724181
3365609789,39.864019,116.2688628
3365609790,39.8584372,116.2343757
3365609791,39.8640535,116.2483861
3367038996,39.8652402,116.2881665
3367044891,39.8652242,116.2978076
3367069254,39.8661164,116.3144367
3367069255,39.8662737,116.3248907
3367069256,39.8614079,116.3600796
3367069257,39.8662594,116.3366819
3367069258,39.859997,116.3497061
3367857703,39.8636079,116.4038312
3367857705,39.8643287,116.4154612
3367857706,39.8673715,116.3809112
3367977137,39.8646535,116.4530028
3367977138,39.8646354,116.4339348
3369001427,39.9583029,116.4789687
3369001428,39.8921089,116.4716849
3369001429,39.9145643,116.4721081
3369001431,39.9069399,116.4712272
3369001432,39.8838514,116.4713411
3369001433,39.8736424,116.4713573
3369356928,40.0091272,116.4611561
3369356929,40.0265143,116.4727698
3369356930,39.9694941,116.4840447
