id_location,lat,lon
342799184,39.903341,116.359877
1292883529,39.9362536,116.3334285
2463551623,39.9993472,116.3876918
2622884128,39.9364465,116.32772
2622884132,39.9365036,116.3281329
2622884133,39.9365123,116.3278009
2625355121,39.9360678,116.3273982
2753471007,39.9987169,116.3879444
2812778790,39.9140626,116.3556263
2982153033,39.998854,116.390233
3379245690,39.9988845,116.3328969
4409361089,39.9237903,116.3830146
4532011990,39.9901778,116.3311859
4564112811,39.9077011,116.3278583
4564112816,39.9139393,116.328872
4564112817,39.9224471,116.3286721
4564112820,39.9310593,116.3275381
4564112842,39.9471407,116.3032926
4564112846,39.9621159,116.3013563
4750211121,39.9487472,116.3734799
5305505993,39.9359528,116.3900647
5305505994,39.947544,116.3879183
5305505995,39.9467307,116.3876367
5305505996,39.9671117,116.3883984
5305505997,39.9763987,116.3879263
5429399341,39.9369392,116.332733
5429413631,39.9412214,116.3187284
5430395013,39.905948,116.3505107
5430403863,39.9750927,116.3343902
5430417411,39.9061429,116.3178757
5430421400,39.9062083,116.3042532
5430462574,39.9392172,116.3492348
5430502371,39.9314815,116.3664948
5430505472,39.9311554,116.3493426
5430540736,39.9057386,116.3682035
5430545454,39.9323878,116.3193762
5441512445,39.9394291,116.3612739
5441520625,39.9063467,116.3947232
5441522470,39.9312135,116.3039811
5441526453,39.9317985,116.3800445
5442237543,39.9914779,116.3317017
5444439979,39.9147796,116.3672738
5447625351,39.9750859,116.3747659
5448545746,39.9225738,116.3196813
5448580676,39.9758344,116.3991828
5448581898,39.9749126,116.3630635
5448585739,39.9748659,116.3477745
5448589968,39.9312548,116.318448
5448593092,39.9554944,116.388548
5687426566,39.9993477,116.347669
6013096562,39.906614,116.3907091
6013107811,39.906648,116.3918182
6015523774,39.9076397,116.391432
6015524394,39.9076315,116.3909948
6049100014,39.9111733,116.391503
6098822140,39.9090935,116.3870071
6447754030,39.9060184,116.385169
6497767616,39.9316439,116.3966927
6497773831,39.9323094,116.3976888
6606270273,39.9747132,116.3115201
6617849501,39.9061161,116.3315051
6617849502,39.9058929,116.346567
6617852356,39.9652731,116.3390137
6724002358,39.947325,116.3670609
6724644887,39.922313,116.3500666
6813504358,39.9289775,116.3800916
6813606626,39.979083,116.3457406
6813606627,39.9790809,116.3454187
7861046849,39.9982949,116.3036739
7861046850,39.9907813,116.3097264
7861046851,39.9826574,116.3103787
7861046852,39.965744,116.3157286
7861046853,39.9563044,116.3171815
7861046854,39.9225455,116.3668145
7896877678,39.931061,116.3379903
7896877681,39.9749496,116.3229284
8016534536,39.9431609,116.3470878
8045349364,39.9732178,116.3091297
8073325264,39.9841327,116.387583
8831659724,39.9396661,116.3666783
8919224285,39.9577096,116.3295201
30835211,39.94336035739515,116.37872163053224
33457828,39.99060731572453,116.33308532319774
33457835,39.992379565376574,116.32775351882016
42411602,39.967826181543046,116.33198829715428
72592765,39.94052210531589,116.34697035141156
81813448,39.99990468848643,116.326370562121
109497827,39.94025031577127,116.34653302793146
121100439,39.94786173490068,116.3706617375266
136706762,39.94775004604258,116.36716150940302
136706763,39.94771174974212,116.36920887874984
162977915,39.93877330261887,116.36629816785718
165161568,39.96920115498688,116.31504724376148
171983199,39.97471578546111,116.33592492525756
175187111,39.98198565758817,116.37451385373588
187289006,39.92609145723019,116.39035990321212
193439210,39.965264292476746,116.33696478292022
237957579,39.90487129028429,116.302108935664
258041025,39.95152017568809,116.3505618679006
263929825,39.94601387264596,116.36498981821916
489944876,39.92611497060184,116.3271674573622
507745590,39.99479157612081,116.32662240241363
524117746,39.96999014697285,116.3020095678741
578293935,39.98172809999999,116.34259165
582551391,39.961103894104106,116.3512447403845
595098576,39.99939829719797,116.34769885284015
595764209,39.9884194636425,116.30475420067664
617826273,39.979251431519664,116.30733422269338
622018915,39.97252793380368,116.34045448726278
622031562,39.97154707932321,116.34303150906268
638618711,39.97878405794077,116.30995000106748
663759535,39.91587001577247,116.34553951529412
690905964,39.93680698526915,116.33787383750249
727015431,39.93047172287457,116.38133976440616
727015994,39.9293176872853,116.37972305794467
727015995,39.92950229772045,116.38062219496396
727052860,39.979735961557296,116.38403120987904
891180466,39.9079200957499,116.32784529342496
891180469,39.91399279600337,116.32887724485
905140607,39.91494087049424,116.3672509309333
922797870,39.9068958371947,116.3626188100946
961320218,39.927316869458544,116.31647290843809
963402864,39.96565375387408,116.38523370469107
963404957,39.95563341360825,116.35967532086153
941596,39.90236125381263,116.39145961921828
8847722,39.90319220619809,116.3914277959696
